user_id,click_article_id,category_id,click_timestamp,created_at_ts,word_count
3,1849,体育,1625686200.0,1625553480.0,804
3,3240,体育,1625686200.0,1625625540.0,194
3,1697,体育,1625686200.0,1625541240.0,266
3,1416,公益,1625686200.0,1612420500.0,1409
3,1677,体育,1625686200.0,1625648820.0,176
3,1452,公益,1625686200.0,1609836960.0,3140
3,1737,体育,1625686200.0,1625645760.0,118
3,2983,体育,1625686200.0,1625632560.0,216
3,1772,体育,1625686200.0,1625529060.0,323
3,2612,体育,1625686200.0,1625641020.0,159
3,1422,公益,1625686200.0,1612011840.0,1054
3,2302,体育,1625686200.0,1625611980.0,141
3,2985,体育,1625686200.0,1625617020.0,630
3,3415,体育,1625686200.0,1625546880.0,937
3,1213,国际,1625686200.0,1625548560.0,248
3,2835,体育,1625686200.0,1625613960.0,180
3,2119,体育,1625686200.0,1625640240.0,120
3,2442,体育,1625686260.0,1625529060.0,323
3,3394,体育,1625686260.0,1625646300.0,187
3,1925,体育,1625686260.0,1625547240.0,51
3,3102,体育,1625686260.0,1625546880.0,1017
3,2882,体育,1625686260.0,1625543340.0,124
3,2882,体育,1625686260.0,1625543340.0,124
3,2882,体育,1625686260.0,1625543340.0,124
5,3770,体育,1625728800.0,1625694480.0,94
5,3480,体育,1625728860.0,1625649060.0,223
5,3266,体育,1625728860.0,1625531820.0,887
5,4225,体育,1625728860.0,1625711760.0,811
5,2537,体育,1625728980.0,1625626140.0,134
11,1911,体育,1625746560.0,1625626080.0,370
11,2371,体育,1625746560.0,1625639400.0,1169
11,1222,国际,1625748420.0,1625541240.0,1459
2,2387,体育,1625753640.0,1625553240.0,177
2,3305,体育,1625753640.0,1625620440.0,1361
2,2255,体育,1625753640.0,1625524200.0,315
2,2227,体育,1625753640.0,1625663160.0,438
2,2442,体育,1625753640.0,1625529060.0,323
2,2416,体育,1625753640.0,1625539980.0,153
2,1650,公益,1625753640.0,1590733320.0,775
2,2260,体育,1625754000.0,1625539980.0,153
